Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43159514,Ash before Oak,Jeremy Cooper,"Cooper, Jeremy",,"=""1910695890""","=""9781910695890""",0,3.67,Fitzcarraldo Editions,Paperback,536,2019,2019,,2023/11/08,to-read,to-read (#139),to-read,,,,0,0
426504,Ficciones,Jorge Luis Borges,"Borges, Jorge Luis","Anthony Kerrigan, Anthony Bonner","=""0802130305""","=""9780802130303""",0,4.41,Grove Press,Paperback,174,1994,1944,,2021/12/08,,,read,,,,1,0
1120639,An Infinity of Little Hours: Five Young Men and Their Trial of Faith in the Western World's Most Austere Monastic Order,Nancy Klein Maguire,"Maguire, Nancy Klein",,"=""1586483277""","=""9781586483272""",0,4.18,PublicAffairs,Hardcover,296,2006,2006,,2023/02/06,"to-read, non-fiction, monastery-novels","to-read (#89), non-fiction (#3), monastery-novels (#3)",to-read,,,,0,0
958668,The Corner That Held Them,Sylvia Townsend Warner,"Warner, Sylvia Townsend",,"=""086068878X""","=""9780860688785""",0,3.94,Virago,Paperback,310,2008,1948,,2023/11/03,"to-read, monastery-novels","to-read (#133), monastery-novels (#2)",to-read,,,,0,0
64948142,Abbess of Crewe (Panther Books),Muriel Spark,"Spark, Muriel",,"=""0586052356""","=""9780586052358""",0,3.46,Granada,Paperback,112,1984,1974,,2023/02/25,"to-read, fiction, monastery-novels","to-read (#101), fiction (#23), monastery-novels (#1)",to-read,,,,0,0
902,The Westing Game,Ellen Raskin,"Raskin, Ellen",,"=""014240120X""","=""9780142401200""",0,4.00,Puffin,Paperback,182,2004,1978,,2023/11/07,"to-read, ergodic, kids","to-read (#138), ergodic (#5), kids (#10)",to-read,,,,0,0
99048,Maze: Solve the World's Most Challenging Puzzle,Christopher Manson,"Manson, Christopher",,"=""0805010882""","=""9780805010886""",0,4.19,Holt Paperbacks,Paperback,96,1985,1985,,2023/11/07,"to-read, kids, ergodic","to-read (#135), kids (#9), ergodic (#4)",to-read,,,,0,0
9809,Invisible Cities,Italo Calvino,"Calvino, Italo","William Weaver, Erwin Salim, ترانه یلدا","=""0156453800""","=""9780156453806""",0,4.11,Harcourt,Paperback,165,1974,1972,,2023/11/07,"to-read, ergodic","to-read (#137), ergodic (#2)",to-read,,,,0,0
24800,House of Leaves,Mark Z. Danielewski,"Danielewski, Mark Z.",,"=""""","=""""",0,4.09,Random House,Paperback,710,2000,2000,,2023/11/07,"to-read, ergodic","to-read (#136), ergodic (#1)",to-read,,,,0,0
970443,Kingdoms of Elfin,Sylvia Townsend Warner,"Warner, Sylvia Townsend",,"=""0385285248""","=""9780385285247""",0,3.95,Delacorte Press,Paperback,222,1978,1977,,2023/11/03,"to-read, fairy-tales","to-read (#134), fairy-tales (#16)",to-read,,,,0,0
24611567,Songs of a Dead Dreamer and Grimscribe,Thomas Ligotti,"Ligotti, Thomas",Jeff VanderMeer,"=""0143107763""","=""9780143107767""",0,3.97,Penguin Books,Paperback,448,2015,2015,2023/10/31,2023/10/19,,,read,,,,1,0
89724,We Have Always Lived in the Castle,Shirley Jackson,"Jackson, Shirley",Jonathan Lethem,"=""0143039970""","=""9780143039976""",0,3.92,Penguin Books,Paperback,146,2006,1962,,2023/10/31,"to-read, halloween","to-read (#132), halloween (#10)",to-read,,,,0,0
26723871,The Ideal Team Player: How to Recognize and Cultivate the Three Essential Virtues,Patrick Lencioni,"Lencioni, Patrick",,"=""1119209595""","=""9781119209591""",0,4.08,Jossey-Bass,Hardcover,240,2016,2016,2022/11/23,2022/10/23,,,read,,,,1,0
39286958,Measure What Matters,John Doerr,"Doerr, John",,"=""""","=""""",0,3.98,Penguin,Kindle Edition,299,2018,2017,,2023/10/20,currently-reading,currently-reading (#4),currently-reading,,,,1,0
14483142,A Heart on Fire,James Kubicki,"Kubicki, James",,"=""1594712875""","=""9781594712876""",0,4.43,Ave Maria Press,Paperback,198,2012,2012,2023/05/20,2023/02/23,spiritual-reading,spiritual-reading (#7),read,,,,1,0
43305488,Children of Ash and Elm: A History of the Vikings,Neil Price,"Price, Neil",,"=""""","=""""",0,4.17,Allen Lane,Hardcover,656,2020,2020,,2023/08/31,"to-read, classical-world","to-read (#130), classical-world (#5)",to-read,,,,0,0
981206,Storeys from the Old Hotel,Gene Wolfe,"Wolfe, Gene",,"=""0312890494""","=""9780312890490""",0,4.01,Tordotcom,Paperback,331,1995,1988,,2023/08/27,"to-read, fiction","to-read (#129), fiction (#29)",to-read,,,,0,0
11012,Dubliners,James Joyce,"Joyce, James","Terence Brown, Jeri Johnson","=""""","=""""",0,3.84,Oxford University Press,Paperback,352,2001,1914,2023/08/18,2023/01/06,fiction,fiction (#14),read,,,,1,0
1702944,A Choice of Shakespeare's Verse,Ted Hughes,"Hughes, Ted",,"=""0374122784""","=""9780374122782""",0,4.06,"Farrar, Straus and Giroux",Paperback,224,2007,1971,,2023/08/08,"to-read, poetry","to-read (#128), poetry (#4)",to-read,,,,0,0
22522805,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""030727103X""","=""9780307271037""",0,3.58,Alfred A. Knopf,Hardcover,317,2015,2015,,2023/08/06,"to-read, fiction","to-read (#127), fiction (#28)",to-read,,,,0,0
14437764,Christianity and Democracy and the Rights of Man and Natural Law,Jacques Maritain,"Maritain, Jacques",,"=""1586176005""","=""9781586176006""",0,3.82,Ignatius Press,Paperback,189,2012,1942,,2021/07/10,"to-read, infinity-pile","to-read (#18), infinity-pile (#2)",to-read,,,,0,0
